hospital,autor,es_local_guide,rating,fecha_relativa,fecha_iso,fuente,texto,respuesta_negocio,anio
Alvarez,Carla De Natale,True,5.0,Editado 2 semanas atrás,2025-10-20T23:53:31Z,Google,"Excelente el servicio de dermatología y destaco a la doctora Marcucci. En la entrada las chicas muy competentes, porque hay mucha gente, tratan de facilitar los turnos. También destaco el trabajo en equipo interdisciplinario, la dedicación en la guardia y la vocación que tienen los profesionales. Estoy muy agradecida a la salud pública",,2025
Alvarez,Mabel Flores,,5.0,Hace 8 meses,2025-10-28T17:36:28Z,Google,"El hospital lo veo más limpio que otras veces. Puse el cajero automático y esta vez funcionaba bien. Cuando uno entra al pabellón de salud mental, dermatología, hematología;  se lo ve poco limpio. En el piso de hematología el baño un asco de sucio. Impresentable. Y me pareció desagradable el comentario del hematólogo, que me dijo que me llamo tres veces a mi teléfono particular para ver si podía ir más temprano. Me parece que si hay un horario de atención lo debe respetar. O no cumple sus siete horas de trabajo. Me pareció poco ético. Creo sacaré turno con otro profesional. Está costando mucho sacar turnos por teléfono. Y decía no hay turnos y eran las 10 de la mañana.",,2025
Alvarez,PATO ISA,,1.0,Hace 8 meses,2025-10-29T10:02:19Z,Google,"Ayer estuve en el Hospital Álvarez con mi cuñado, que es esquizofrénico. Estaba en crisis, quería suicidarse, y se cayó, fracturándose el brazo izquierdo. Desde las 13 hs hasta las 19 hs nadie nos atendió. Se cayó al piso y ni el camillero ni los médicos se acercaron; pasaban por su lado y se reían. Nadie nos ayudó. Después de seis horas nos atendió un supuesto psiquiatra, que hizo las recetas de los medicamentos utilizando los sellos de una doctora.
No me interesa si no me dan importancia acá, pero voy a exponer esto en todos lados. Son unos sinvergüenzas; los síndicos tienen cero empatía",,2025
Alvarez,Vero Val,,5.0,Hace 7 meses,2025-11-05T14:02:47Z,Google,"Excelente!!! fui hoy por primera vez ,la verdad que tenía un poco de desconfianza ya que leí muchas opiniones negativas; pero la realidad es que encontré un hospital limpio, el personal fue muy amable, y la atención fue rápida.Me hicieron radiografías,me las entregan enseguida, y el turno lo había conseguido hace tres días; cosa que no me sucedió en otros hospitales; donde nunca hay turno, las radiografías no las entregan, solo las mantiene unos días en el sistema de salud y bla bla bla, burocracia no mas.
Sinceramente muy muy conforme con la atención del hospital Álvarez!!",,2025
Alvarez,afgan lacsai,,1.0,Hace un año,2025-04-12T07:42:46Z,Google,"Desastre total la atención, la traje a mi pareja a las 3 de la mañana luego de haber sido atendida el día anterior por dolor abdominal, le dijeron q venga si levantaba fiebre. Levanto fiebre y tuvo vómitos y desde las, ya son las 04.40 y aun no la atendieron, no hay nadie más en la guardia!!! Es la que sigue, ya la van a atender, es lo único que repetía la de admisión. Se cagan en el sufrimiento ajeno. Los doctores durmiendo tranquilamente mientras en la guardia mi pareja se retuerce de los dolores. Impresentables",,2025
Alvarez,Maximiliano Campos,,1.0,Hace un año,2024-07-11T01:57:06Z,Google,"Un desastre. Realmente un desastre. Fuimos con mis mujer con turno a visitar por primera vez a una obstetra. Ya de arranque la obstetra le pregunta a mi mujer si número de teléfono(ella no sabe su número, pues no se llama a si misma) y le dijo eso en forma de chiste, a lo que la ""médica le respondió de muy mala manera diciéndole te voy a hacer más preguntas vas a saber que responder"" ya ahí iba tornándose raro. En un momento a mi me suena el teléfono y reviso que tengo una nota de audio, nuevamente y de muy mala manera me dice anda al pasillo a hablar por teléfono acá no se puede. Guarde el teléfono y por educación me quedé solo escuchando lo que decía. Después de varios comentarios de mala forma nos manda a sacar unos turnos a un pabellón que después del mediodía, cierra. Nos atiende una chica también de pésimo humor y nos dice que en ese pabellón (el D) por la tarde ya no atienden, que vayamos al pabellón ""J"". Fuimos por segunda vez a ese pabellón y nos dicen que las órdenes que tenemos se dan únicamente los turnos en el pabellón ""D"", nosotros respondimos que no, que veníamos de ahí y nos habían mandado al ""J"". Ahí una chica un poco apenas mejor predispuesta nos explica de igual manera que las anteriores que los sectores del pabellón ""D"" cierran al mediodía.
Conclusión:
Quedamos sin turnos, con una muy mala atención de parte de todo el personal (menos la enfermera).
Somos primerizos y tenemos dudas y miedos como el.resto de la gente en nuestra situación y ellos no tienen mejor manera que atender mal hablarle mal a las chicas embarazadas dar información incorrecta, llenarnos de dudas, en fin. Malísima nuestra experiencia salimos más confundidos con más miedos y bastante enojados.
Ojo con la obstetra Viviana Carames ella es la que hace sentir menos a las chicas que van por primera vez a saber cómo hacer para llevar adelante su embarazo.",,2024
Alvarez,Kmi,,3.0,Fecha de edición: Hace 2 años,2023-08-31T19:45:51Z,Google,"La verdad es que de los médicos que me tocaron hasta ahora no puedo decir nada negativo. Siempre me trataron de diez ( defendamos la salud pública)
El personal administrativo es otro cantar ...no solo son mal educados ( les decís buen día y te miran como si les hubieras pedido un riñón  ) sino que pareciera que disfrutan maltratando gente o destratando...terribles logis algunos ( no todos , pero son mayoría ).
Recomiendo pedir los turnos por el 147 , es mucho más rápido .",,2023
Alvarez,Maria de los angeles Grisolia (Angeles),,5.0,Hace 6 meses,2025-12-05T20:56:45Z,Google,"Dr Pantano Jorge ( hematologo) y Licenciada Andreachi Rita ( neuróloga ) un encanto de profesionales , Gracias por la contención que recibo por parte de ambos ,además he dado con personal administrativo de este Hospital sumamente atenta y amables y el nosocomio de encuentra muy limpio y organizado.",,2025
Alvarez,Sarita de Lourdes CaceresChambergo,,1.0,Hace 11 meses,2025-07-09T09:32:49Z,Google,Un desastre de admisión estuvieron haciendo esperar más 1 hora para ingresar mis datos y mentirosos al decir  q estuvieron hay todo el tiempo. Durmieron durante la noche y cuando se despertaron recién atendieron. Esta chica y su compañero son los q tienen pésima atención,,2025
Alvarez,Ana,,5.0,Hace 6 meses,2025-12-29T06:11:11Z,Google,"domingo 28/12/25 3:00 pm me tocó visitar la guardia obstetrica y tengo que decir que la atención fue impecable. médicos muy profesionales, que supieron manejar mi situación con delicadeza y se tomaron el tiempo para explicarme mi situación. agradezco mucho la ayuda que recibí aquí. de corazón, gracias",,2025
