hospital,autor,es_local_guide,rating,fecha_relativa,fecha_iso,fuente,texto,respuesta_negocio,anio,ai_guess,categorias
Alvarez,PATO ISA,,1.0,Hace 8 meses,2025-10-29T10:02:19Z,Google,"Ayer estuve en el Hospital Álvarez con mi cuñado, que es esquizofrénico. Estaba en crisis, quería suicidarse, y se cayó, fracturándose el brazo izquierdo. Desde las 13 hs hasta las 19 hs nadie nos atendió. Se cayó al piso y ni el camillero ni los médicos se acercaron; pasaban por su lado y se reían. Nadie nos ayudó. Después de seis horas nos atendió un supuesto psiquiatra, que hizo las recetas de los medicamentos utilizando los sellos de una doctora.
No me interesa si no me dan importancia acá, pero voy a exponer esto en todos lados. Son unos sinvergüenzas; los síndicos tienen cero empatía",,2025,"['delays', 'inappropriate_interpersonal_behavior']",delays; inappropriate_interpersonal_behavior
Alvarez,afgan lacsai,,1.0,Hace un año,2025-04-12T07:42:46Z,Google,"Desastre total la atención, la traje a mi pareja a las 3 de la mañana luego de haber sido atendida el día anterior por dolor abdominal, le dijeron q venga si levantaba fiebre. Levanto fiebre y tuvo vómitos y desde las, ya son las 04.40 y aun no la atendieron, no hay nadie más en la guardia!!! Es la que sigue, ya la van a atender, es lo único que repetía la de admisión. Se cagan en el sufrimiento ajeno. Los doctores durmiendo tranquilamente mientras en la guardia mi pareja se retuerce de los dolores. Impresentables",,2025,"['delays', 'inappropriate_interpersonal_behavior']",delays; inappropriate_interpersonal_behavior
Alvarez,Maximiliano Campos,,1.0,Hace un año,2024-07-11T01:57:06Z,Google,"Un desastre. Realmente un desastre. Fuimos con mis mujer con turno a visitar por primera vez a una obstetra. Ya de arranque la obstetra le pregunta a mi mujer si número de teléfono(ella no sabe su número, pues no se llama a si misma) y le dijo eso en forma de chiste, a lo que la ""médica le respondió de muy mala manera diciéndole te voy a hacer más preguntas vas a saber que responder"" ya ahí iba tornándose raro. En un momento a mi me suena el teléfono y reviso que tengo una nota de audio, nuevamente y de muy mala manera me dice anda al pasillo a hablar por teléfono acá no se puede. Guarde el teléfono y por educación me quedé solo escuchando lo que decía. Después de varios comentarios de mala forma nos manda a sacar unos turnos a un pabellón que después del mediodía, cierra. Nos atiende una chica también de pésimo humor y nos dice que en ese pabellón (el D) por la tarde ya no atienden, que vayamos al pabellón ""J"". Fuimos por segunda vez a ese pabellón y nos dicen que las órdenes que tenemos se dan únicamente los turnos en el pabellón ""D"", nosotros respondimos que no, que veníamos de ahí y nos habían mandado al ""J"". Ahí una chica un poco apenas mejor predispuesta nos explica de igual manera que las anteriores que los sectores del pabellón ""D"" cierran al mediodía.
Conclusión:
Quedamos sin turnos, con una muy mala atención de parte de todo el personal (menos la enfermera).
Somos primerizos y tenemos dudas y miedos como el.resto de la gente en nuestra situación y ellos no tienen mejor manera que atender mal hablarle mal a las chicas embarazadas dar información incorrecta, llenarnos de dudas, en fin. Malísima nuestra experiencia salimos más confundidos con más miedos y bastante enojados.
Ojo con la obstetra Viviana Carames ella es la que hace sentir menos a las chicas que van por primera vez a saber cómo hacer para llevar adelante su embarazo.",,2024,['inappropriate_interpersonal_behavior'],inappropriate_interpersonal_behavior
Alvarez,Sarita de Lourdes CaceresChambergo,,1.0,Hace 11 meses,2025-07-09T09:32:49Z,Google,Un desastre de admisión estuvieron haciendo esperar más 1 hora para ingresar mis datos y mentirosos al decir  q estuvieron hay todo el tiempo. Durmieron durante la noche y cuando se despertaron recién atendieron. Esta chica y su compañero son los q tienen pésima atención,,2025,"['delays', 'inappropriate_interpersonal_behavior']",delays; inappropriate_interpersonal_behavior
Alvarez,Valen HakimiaN,,1.0,Hace 6 meses,2025-12-25T20:06:14Z,Google,"es una vergüenza este hospital, hace 3hs que estoy esperando y llamaron a dos personas. Entro una chica agonizadando del dolor y la dejaron ahi nomas en una silla de ruedeas esperando. Si tenes una urgenica no vengas NUNCA.
Demás esta decir q las de recepción te atienden de mala manera y con odio",,2025,"['delays', 'inappropriate_interpersonal_behavior']",delays; inappropriate_interpersonal_behavior
Alvarez,Rufina Arevalos,,1.0,Hace 9 meses,2025-09-19T15:58:16Z,Google,"Pesima , pesima atencion por parte de la infectologa Rosana Lujan Cuini, por discriminacion , mi mama se presento para ser atendida ya que tiene TBC y esta con tratamiento por ende no contagia y con las medidas de seguridad usando barbijo y alcohol en gel en mano , fue rechazada la atencion  por parte d esta supuesta Doctora
Le falta vocacion y ganas muchas ganas de trabajar . Dediquese a otra cosa .",,2025,['inappropriate_interpersonal_behavior'],inappropriate_interpersonal_behavior
Alvarez,Breidy Davila,,1.0,Hace 2 años,2024-03-13T09:00:47Z,Google,"Un desastre total , la guardia un examen de laboratorio te dan dos horas y pídelo al doctor que se lo mandan a la computadora el chico de admisión  te da largas estamos con  Muchos pacientes  saturados!  Tres  horas acá sin llamar a nadie . Y sin que nadie te de respuesta.",,2024,['delays'],delays
Alvarez,German Gies,,1.0,Hace 8 meses,2025-10-29T00:51:08Z,Google,"Una porquería de hospital. Los supuestos medicos no lo son. Son extranjeros que no te dicen sus apellidos para que uno no los expongan. Fuimos hoy a las 2 de la tarde y estuvimos hasta las 8 de la noche. Como llegamos nos fuimos. sin ninguna solucion. Llevamos a mi hermano esquizofrenico con una orden de su psiquiatra Dra Buttman para internarlo y se negaron a hacerlo diciendonos textualmente: "" A mi una psiquiatra no me va a dar a órdenes"". Realmente deprimente la atención del hospital. Ojalá los echen a todos porque ninguno sirve para nada...Desde la recepcion hasta los supuestos medicos é irrespetuosos. Ni siquiera te dicen sus nombres para que uno no los pueda escrachar en las redes. Mi hermano se llama Carlos Gies y lo mandaron de vuelta a su casa en condiciones deplorables sin atenderlo adecuadamente. Hasta desconfiaron de las cosas que les decíamos sobre lo que nos estaba pasando. Les dijimos que él se stiende ahi desde hace 15 años y nos trataron de mentirosos. Mi hermano gritaba y estaba tirado en el piso y ni siquiera quisieron levantarlo para ayudarlo. Son inhumanos y muy pocos profesionales.  Piden aumento de sueldo pero no merecen ni siquiera lo que cobran ahora por cómo atienden a los pacientes. Esto tiene que cambiar.",,2025,"['delays', 'inefficient_medical_treatment', 'inappropriate_interpersonal_behavior']",delays; inefficient_medical_treatment; inappropriate_interpersonal_behavior
Alvarez,Julieta Perrone,,1.0,Hace 9 meses,2025-09-30T02:26:13Z,Google,"Fui a la guardia esta tarde con taquicardia, dolor de pecho y sin poder respirar bien, me enviaron a un médico rápido por suerte pero este mismo médico ni me reviso ni nada... me contesto pésimo diciendo que no había que molestar a la guardia si no era una urgencia (no sabia si lo mio era una urgencia porque ni me reviso) y sigo exactamente con los mismos síntomas... solo me dio clonazepam para calmar los nervios, literalmente

Y ahora que estoy mirando el medico que me atendió supuestamente es un traumatologo (alejandro tabbaj), nada que ver con lo que yo necesitaba pero bueno, gracias por su mala atención. La próxima a un particular claramente porque no sirven para nada",,2025,"['inefficient_medical_treatment', 'inappropriate_interpersonal_behavior']",inefficient_medical_treatment; inappropriate_interpersonal_behavior
Alvarez,Yair Mansilla,,1.0,Hace 11 meses,2025-07-08T16:58:37Z,Google,Una hora y media esperando y ni siquiera habían atendido a la otra gente que encima era gente grande. Horrible y encima el recepcionista ese se fue como por dos horas o más y no atendían a la gente,,2025,"['delays', 'inappropriate_interpersonal_behavior']",delays; inappropriate_interpersonal_behavior
Alvarez,Nicole Rodríguez (Nicki),,1.0,Hace un año,2025-02-26T16:04:11Z,Google,"El peor hospital para tener un hijo, fui hacer mi primera eco y cero intimidad y mientras antes te puedan sacar de encima mejor, arruinaron mi primer eco y el escuchar sus latidos, nunca mas. Y en la guardia las trataban con una violencia a una mamá primeriza,  entiendo q para ustedes es algo de todos los días pero para q carajo estudian si van a tener cero paciencia con la gente. Un horror todo",,2025,['inappropriate_interpersonal_behavior'],inappropriate_interpersonal_behavior
Alvarez,Laura Landolfi,,1.0,Fecha de edición: Hace un año,2025-01-25T20:22:15Z,Google,"Un maleducado el chico de recepción con barba, le voy a preguntar y me dice que no pregunte boludeces. La sala a medio vacío y aún así hay demora. No vengan acá. Es puro dolor de cabeza",,2025,"['inappropriate_interpersonal_behavior', 'delays']",inappropriate_interpersonal_behavior; delays
Alvarez,alicia albort,,1.0,Hace 9 meses,2025-09-17T11:32:15Z,Google,"me gustaría que se capacitara a los médicos de guardia sobre como tratar a los colegas que van a presentar pacientes, dado que por mucho que llegase a estar colapsada la urgencia, tienen que informarle al medico de la ambulancia de forma respetuosa que no lo pueden aceptar y para no afectar al paciente determinar si requieren o no realizarle formato de rechazo para que la obra social pueda redireccionar a la ambulancia.
tienen que colocarse en el lugar del medico que esta trasladando quien también esta haciendo su trabajo y no decide donde llevar al paciente.
una medico clínica de guardia de nacionalidad ecuatoriana cabello tinturado de rubio y gafas rojas , a la que al decirle buenas noches solo me levanto la voz  gritándome que estaba colapsada y que no lo podía aceptar, de la clínica solo me dejo decir muy poco quedandose solo con la idea de que estaba hipotenso y me grito que antes de derivarlo debía administrarle 2000 de lev sin escuchar como tal las condiciones del paciente (traumatismo craneoencefalico) , se les olvida que quien traslada es un medico y tambien sabe como manejar a un paciente.
al explicarle que necesitaba el rechazo para ubicar al paciente me grito que no lo iba a hacer , al decirle que me podia rechazar al paciente de forma amable y respetuosa recordandole que somos colegas me dijo que ya me estaba respetando mucho e inclusive me manoteo , con sus palabras y actitud fácilmente me podía agredir físicamente.
una hora esperando el rechazo por parte del medico y llamando a cabina para que por favor se me eximiera la presentación de rechazo para poder reubicar al paciente logrando así trasladarlo

POR FAVOR SOMOS COLEGAS, PROFESIONALES Y ATENDEMOS PERSONAS
pongámonos en el lugar del paciente descompensado que requiere atención, el familiar que esta lleno de angustia y el medico de la ambulancia que ante la ausencia de recursos esta contabilizando el tiempo para evitar una mayor complicación.

que residentes de clínica de primer año estén acompañados de un superior que sepa manejar el servicio para que se priorice el buen trato.

ojala y esto sirva de algo.",,2025,"['delays', 'inappropriate_interpersonal_behavior']",delays; inappropriate_interpersonal_behavior
Alvarez,Ma Yegros,,1.0,Hace 8 meses,2025-10-10T10:41:44Z,Google,La verdad que la guardia una decepción atendían cada dos hrs yo llegue a las 3 y había gente desde las 9 de la mañana esperando yo soy discapacitada y no me atendieron como prioridad una mujer se desmayo y ni bola los médicos .nos atendieron tipo 8:30 pero como descarte ahí mismo en recepción yo vengo descompuesta hace 4 meses y ahora con sangre no me chequearon ni me mandaron a ser estudios y peor aún me recetaron una pastilla que ya la había tomado y no me hace nada .una chica vomitaba sangre le dió pastilla y la mando a su casa .yo soy de oeste y pague Uber para ir y volver ese hospital debería ser clausurado está en el centro y es una vergüenza ni en las salitas te tratan así .,,2025,"['delays', 'inefficient_medical_treatment', 'inappropriate_interpersonal_behavior']",delays; inefficient_medical_treatment; inappropriate_interpersonal_behavior
Alvarez,VOL DEMORT,,1.0,Hace 9 meses,2025-09-19T15:28:26Z,Google,"Quiero quejarme especialmente de la infectolga Rosana Lujan Cuini , por discriminación, la lleve a mi mamá que tiene TBC , para que pueda ser tratada x su enfermedad ya que no tolera medicacion , ella esta tomando antibióticos muy fuertes y necesitaba la ayuda d una profesional para una mejor evolución del tratamiento  y  con solo verla se negó rotundamente a atenderla . Ser Doctora no es solo tener un titulo sino tambien tener vocación y empatía . Gracias x nada . Pésima , pésima y pésima atención si se la puede llamar doctora .",,2025,"['inappropriate_interpersonal_behavior', 'inefficient_medical_treatment']",inappropriate_interpersonal_behavior; inefficient_medical_treatment
Alvarez,Marina Gómez De Biase,,1.0,Hace 11 meses,2025-07-14T13:43:58Z,Google,"Es un DESASTRE!!!!! Es la tercera vez que voy a la guardia con un dolor de pecho y espalda muy fuerte y no te dan ni 5 de pelota, ni te revisan, no te auscultan, no te sacan placas, no despegan el culo de la silla pero si te dan KETEROLAK inyectable sin notificarme ni preguntarme si soy alérgica. Una verdadera basura!!! El Director debería ocuparse, o es igual que los médicos de guardia?",,2025,"['inefficient_medical_treatment', 'inappropriate_interpersonal_behavior']",inefficient_medical_treatment; inappropriate_interpersonal_behavior
Alvarez,ThiagoSofiaP cruz,,1.0,Hace un año,2025-06-10T19:59:57Z,Google,"LA DOCTORA LORENA FERNANDEZ BISOGNIN , PEDIATRA,UN DESASTRE COMO PERSONA! PORQUE CUANDO SACAS TURNO TE DICEN LLEGAR MEDIA HORA ANTES! UNO LLEGA MEDIA HORA ANTES, Y LA DOCTORA CHARLANDO CON OTROS MEDICOS , TENIENDO PACIENTES EN ESPERA! UN DESASTRE !! Cuando le digo que lleve media hora antes , al turno asignado, se enoja porque dice que ella está atendiendo.
Y la veo charlando con otros médicos y se enoja y todavía TARDA MÁS PARA ATENDERME!! CERO PROFESIONALISMO!!",,2025,"['delays', 'inappropriate_interpersonal_behavior']",delays; inappropriate_interpersonal_behavior
Alvarez,Estela Caballero,,1.0,Hace 10 meses,2025-08-16T04:04:39Z,Google,"Un hospital que cuenta con los mejores especialistas, tantos pediatras y adultos. Tengan en admisión de adultos guardia turno noche a un desubicado prepotente que piensa que por sentarse detrás de un mostrador  pueden llevar por delantes a todo. Cero trato a las personas, cero empatía tendria que estar dedicandose a otra cosa. Esto es lamentable.",,2025,['inappropriate_interpersonal_behavior'],inappropriate_interpersonal_behavior
